industry,company,product_or_platform,country_region,official_cli,official_skill,api_sdk_open,data_interface_openness,github_url,notes,checked_at
开发者平台与代码托管,GitHub,GitHub CLI,US,有,有,高,高,https://github.com/cli/cli,官方 CLI 且 cli/cli 内置 gh Skill,2026-07-06
开发者平台与代码托管,GitLab,glab,US,有,未发现,高,中高,https://github.com/profclems/glab,GitHub 仓库归档并迁至 GitLab 官方维护,2026-07-06
公有云与云原生,AWS,AWS CLI,US,有,未发现,高,高,https://github.com/aws/aws-cli,通用 AWS 命令行工具,2026-07-06
公有云与云原生,Azure,Azure CLI,US,有,有,高,高,https://github.com/Azure/azure-cli,Azure CLI 与 Microsoft MCP/Skill 生态,2026-07-06
公有云与云原生,Firebase,Firebase Tools,US,有,有,高,高,https://github.com/firebase/firebase-tools,Firebase CLI,2026-07-06
公有云与云原生,Cloudflare,Wrangler / Workers SDK,US,有,有,高,高,https://github.com/cloudflare/workers-sdk,Wrangler 官方 CLI,2026-07-06
公有云与云原生,Vercel,Vercel CLI,US,有,有,高,高,https://github.com/vercel/vercel,Deploy and preview platform,2026-07-06
公有云与云原生,Netlify,Netlify CLI,US,有,有,高,高,https://github.com/netlify/cli,Netlify CLI and deploy skills,2026-07-06
公有云与云原生,Supabase,Supabase CLI,US,有,有,高,高,https://github.com/supabase/cli,本地开发迁移和 Edge Functions,2026-07-06
公有云与云原生,Neon,neonctl,US,有,有,高,中高,https://github.com/neondatabase/neonctl,Serverless Postgres CLI,2026-07-06
公有云与云原生,HashiCorp,Terraform,US,有,有,高,高,https://github.com/hashicorp/terraform,IaC 事实标准,2026-07-06
公有云与云原生,Alibaba Cloud,Alibaba Cloud CLI,China,有,未发现,高,高,https://github.com/aliyun/aliyun-cli,基于 Alibaba Cloud OpenAPI,2026-07-06
公有云与云原生,Tencent Cloud,TCCLI,China,有,未发现,高,高,https://github.com/TencentCloud/tencentcloud-cli,Tencent Cloud API 3.0 CLI,2026-07-06
公有云与云原生,Huawei Cloud,Huawei Cloud Skills,China,待补,有,高,中高,https://github.com/huaweicloud/huaweicloud-skills,官方 Agent Skills,2026-07-06
公有云与云原生,Volcengine,Volcengine CLI,China,有,未发现,高,高,https://github.com/volcengine/volcengine-cli,调用和管理火山引擎 OpenAPI,2026-07-06
企业协作与办公,Google Workspace,Google Workspace CLI,US,有,有,高,高,https://github.com/VoltAgent/awesome-agent-skills,gws CLI skills,2026-07-06
企业协作与办公,Microsoft,Microsoft Learn MCP,US,有,有,高,高,https://github.com/MicrosoftDocs/mcp,官方 MCP Server and CLI,2026-07-06
企业协作与办公,Slack,Slack CLI,US,有,未发现,高,中高,https://github.com/slackapi/slack-cli,Slack app CLI,2026-07-06
企业协作与办公,Notion,Notion,US,未发现,有,中高,中高,https://github.com/VoltAgent/awesome-agent-skills,API 开放但官方 CLI 不明显,2026-07-06
企业协作与办公,飞书 / Lark / Feishu,larksuite/cli,China,有,有,高,高,https://github.com/larksuite/cli,官方 CLI 自带 20+ Agent Skills,2026-07-06
企业协作与办公,钉钉 / DingTalk,DingTalk Workspace CLI,China,有,有,高,高,https://github.com/DingTalk-Real-AI/dingtalk-workspace-cli,官方开源跨平台 CLI,2026-07-06
文档与知识库,金山文档 / WPS 365,WPS AirPage Skill,China,有,有,中高,中高,https://github.com/WPS-SmartDocs/WPS-AirPage-Skill,本地 CLI 操作 WPS 365 AirPage,2026-07-06
文档与知识库,语雀 / Yuque,Yuque Ecosystem,China,通过 MCP/Plugin,有,中高,中高,https://github.com/yuque/yuque-ecosystem,MCP Server Skills Plugin,2026-07-06
文档与知识库,Obsidian,Obsidian Skills,Global,生态 CLI,准官方,高,高,https://github.com/kepano/obsidian-skills,CEO 发布的 Agent Skills,2026-07-06
文档与知识库,Zotero,Zotero,Global,未发现,未发现,中高,中,https://github.com/zotero/zotero,官方 Skill 缺位,2026-07-06
办公套件,Kdocs / 金山文档,Kdocs / WPS 365,China,有,有,中高,中高,https://github.com/WPS-SmartDocs/WPS-AirPage-Skill,Kdocs/WPS 365 文档对象适合 Agent 编辑和协作自动化,2026-07-06
办公套件,WPS 365 AirPage,WPS-AirPage-Skill,China,有,有,中高,中高,https://github.com/WPS-SmartDocs/WPS-AirPage-Skill,本地 CLI 创建编辑智能文档块表格图片评论,2026-07-06
办公套件,飞书云文档,Lark Docs / Drive / Sheets,China,有,有,高,高,https://github.com/larksuite/cli,飞书 CLI 覆盖文档云盘表格知识库等办公对象,2026-07-06
办公套件,钉钉文档,DingTalk Workspace,China,有,有,高,高,https://github.com/DingTalk-Real-AI/dingtalk-workspace-cli,钉钉官方 Workspace CLI 面向 AI Agent 场景,2026-07-06
办公套件,语雀,Yuque Knowledge Base,China,通过 MCP/Plugin,有,中高,中高,https://github.com/yuque/yuque-ecosystem,团队知识库搜索写作会议纪要和周报,2026-07-06
办公套件,Google Workspace,gws CLI,US,有,有,高,高,https://github.com/VoltAgent/awesome-agent-skills,Drive Sheets Gmail Calendar Docs Slides 等官方 Skill,2026-07-06
办公套件,Microsoft 365,Microsoft Graph / Learn MCP,US,有,有,高,高,https://github.com/MicrosoftDocs/mcp,Microsoft Graph 和 Learn MCP/CLI 生态,2026-07-06
支付电商CRM通信,Stripe,Stripe CLI,US,有,有,高,高,https://github.com/stripe/stripe-cli,支付 API 和 Webhook 自动化,2026-07-06
支付电商CRM通信,Shopify,Shopify CLI,Canada,有,未发现,高,高,https://github.com/Shopify/cli,Apps Themes Hydrogen,2026-07-06
支付电商CRM通信,Salesforce,sf CLI,US,有,未发现,高,中高,https://github.com/salesforcecli/cli,CRM CLI,2026-07-06
支付电商CRM通信,Twilio,Twilio CLI,US,有,未发现,高,高,https://github.com/twilio/twilio-cli,通信 API CLI,2026-07-06
数据平台与数据库,Snowflake,Snowflake CLI,US,有,未发现,高,中高,https://github.com/snowflakedb/snowflake-cli,开发者工作流和 SQL 操作,2026-07-06
数据平台与数据库,Databricks,Databricks CLI,US,有,未发现,高,中高,https://github.com/databricks/cli,Lakehouse CLI,2026-07-06
数据平台与数据库,dbt Labs,dbt Core,US,有,未发现,高,高,https://github.com/dbt-labs/dbt-core,数据转换事实标准,2026-07-06
数据平台与数据库,MongoDB,mongosh,US,有,有,高,高,https://github.com/mongodb-js/mongosh,MongoDB Shell,2026-07-06
数据平台与数据库,ClickHouse,ClickHouse,US,有,有,高,高,https://github.com/ClickHouse/ClickHouse,实时分析数据库,2026-07-06
数据平台与数据库,DuckDB,DuckDB,Global,有,有,高,高,https://github.com/duckdb/duckdb,本地分析数据库,2026-07-06
数据平台与数据库,Redis,Redis,US,有,有,高,高,https://github.com/redis/redis,缓存和实时数据结构,2026-07-06
数据平台与数据库,Pinecone,Pinecone Skills,US,API/SDK,有,高,高,https://github.com/pinecone-io/skills,官方 Agent Skills library,2026-07-06
数据供应商,Kaggle,Kaggle CLI,US,有,未发现,高,高,https://github.com/Kaggle/kaggle-cli,官方 Kaggle CLI,2026-07-06
数据供应商,IPinfo,IPinfo CLI,US,有,未发现,高,高,https://github.com/ipinfo/cli,IP 地理位置和网络数据 CLI,2026-07-06
数据供应商,Massive / Polygon.io,client-python,US,SDK,未发现,高,中高,https://github.com/massive-com/client-python,金融市场 API Python client,2026-07-06
数据供应商,X API,xurl,US,有,未发现,中高,中,https://github.com/xdevplatform/xurl,X API CLI 生态,2026-07-06
数据供应商,小红书,xiaohongshu-skills,China,未发现,未发现官方,低,低,https://github.com/autoclaw-cc/xiaohongshu-skills,社区 Skill 活跃,2026-07-06
数据供应商,微信公众号,md2wechat-skill,China,未发现,未发现官方,中,中,https://github.com/geekjourneyx/md2wechat-skill,社区发布 CLI 领先,2026-07-06
金融数据与终端,Wind / 万得,wind-skills / wind-mcp-skill,China,Skill 内置 CLI 调用,有官方 Skill/MCP Skill,"高，商业授权",高,https://github.com/Wind-Information-Co-Ltd/wind-skills,官方 wind-skills monorepo 含 wind-mcp-skill wind-find-finance-skill wind-alice,2026-07-06
金融数据与终端,东方财富 Choice,Choice 金融终端,China,未发现,未发现官方 Skill/MCP,"中高，商业授权",中,https://choice.eastmoney.com,终端和量化接口生态存在但未发现官方 Agent Skill/MCP 公开入口,2026-07-06
金融数据与终端,同花顺 iFinD,iFinD MCP 平台,China,MCP 平台/Token,有官方 MCP 服务；未发现官方 GitHub Skill,"中高，商业授权",中高,https://mcp.51ifind.com/,iFinD MCP 平台提供 Auth Token 但官方 GitHub Skill 未确认,2026-07-06
金融数据与终端,Bloomberg,BLPAPI,US/Global,Terminal/API,未发现官方,"高，商业授权",中高,https://github.com/msitt/blpapi-python,依赖 Bloomberg 授权的 Python API 包,2026-07-06
金融数据与终端,LSEG / Refinitiv,LSEG Data Library,UK/Global,SDK/API,未发现官方,"高，商业授权",中高,https://github.com/LSEG-API-Samples/Example.DataLibrary.Python,Workspace/Data Library API 样例丰富,2026-07-06
金融数据与终端,FactSet,FactSet SDKs,US,SDK/API,未发现官方,"高，商业授权",中高,https://github.com/factset,官方 GitHub 组织提供多语言 SDK,2026-07-06
金融数据与终端,Morningstar,Morningstar Developer,US,API/Direct,未发现官方,"中高，商业授权",中,https://developer.morningstar.com,数据和 Direct 生态偏商业授权,2026-07-06
金融数据与终端,S&P Global Market Intelligence,Capital IQ / S&P APIs,US,API,未发现官方,"中高，商业授权",中,https://developer.spglobal.com,企业订阅型数据接口,2026-07-06
金融数据与终端,Nasdaq Data Link,Data Link Python,US,SDK/API,未发现官方,高,中高,https://github.com/Nasdaq/data-link-python,原 Quandl 数据平台 Python SDK,2026-07-06
金融数据与终端,Polygon.io / Massive,client-python,US,SDK/API,未发现官方,高,中高,https://github.com/massive-com/client-python,市场数据 REST/WebSocket API,2026-07-06
金融数据与终端,Alpaca,alpaca-py,US,SDK/API,未发现官方,高,中高,https://github.com/alpacahq/alpaca-py,交易与行情 API 开放度高但需风控,2026-07-06
金融数据与终端,Interactive Brokers,TWS API,US/Global,TWS Gateway/API,未发现官方,"高，账户授权",中高,https://github.com/InteractiveBrokers/tws-api-public,交易与行情 API 成熟但依赖账户和网关,2026-07-06
金融数据与终端,Tushare Pro,Tushare,China,SDK/API,未发现官方,"中高，积分/授权",中高,https://github.com/waditu/tushare,A 股数据接口社区影响力强,2026-07-06
金融数据与终端,AKShare,AKShare,China,Python SDK,社区 Skill 可用,"中高，聚合公开源",中高,https://github.com/akfamily/akshare,开源财经数据接口库覆盖 A 股港美股宏观等,2026-07-06
金融数据与终端,Baostock,Baostock,China,Python SDK,未发现官方,中,中,https://github.com/baostock/baostock,免费证券数据接口,2026-07-06
金融数据与终端,聚宽 JoinQuant,JoinQuant,China,SDK/API,未发现官方,"中高，平台授权",中,https://www.joinquant.com,量化研究和回测平台数据接口多在平台内使用,2026-07-06
金融数据与终端,米筐 Ricequant,Ricequant,China,SDK/API,未发现官方,"中高，平台授权",中,https://www.ricequant.com,量化投研平台 API/数据绑定平台环境,2026-07-06
