entity_id,entity_name_en,entity_name_zh,entity_type,domain_zh,domain_en,country_region,official_homepage,primary_github,primary_docs,commercial_model,tracking_status,index_status,watch_count,candidate_count,last_discovered_at,last_reviewed_at,last_promoted_at,notes,checked_at
ent-ncbi,NCBI,,Public data source,生命科学公共数据源,Life science public data sources,US,https://www.ncbi.nlm.nih.gov,https://github.com/ncbi,https://www.ncbi.nlm.nih.gov/datasets/docs/v2,Free public and API-key resources,active,not_indexed,1,0,,,,Official public life-science data and software organization,2026-07-07
ent-uniprot,UniProt,,Public data source,生命科学公共数据源,Life science public data sources,Global,https://www.uniprot.org,https://github.com/ebi-uniprot,https://www.uniprot.org/help/programmatic_access,Free public resources,active,not_indexed,1,0,,,,Official UniProt public data and tooling,2026-07-07
ent-ensembl,Ensembl,,Public data source,生命科学公共数据源,Life science public data sources,UK/Global,https://www.ensembl.org,https://github.com/Ensembl,https://rest.ensembl.org,Free public resources,active,not_indexed,1,0,,,,Official Ensembl public genomics tooling,2026-07-07
ent-rcsb-pdb,RCSB PDB,,Public data source,生命科学公共数据源,Life science public data sources,US,https://www.rcsb.org,https://github.com/rcsb,https://www.rcsb.org/docs/programmatic-access/web-apis-overview,Free public resources,active,not_indexed,1,1,2026-07-07T08:24:47Z,2026-07-07,,Official RCSB PDB public structure-data tooling,2026-07-07
ent-clinicaltrials,ClinicalTrials.gov,,Public data source,临床试验与监管公开数据,Clinical trial and regulatory public data,US,https://clinicaltrials.gov,,https://clinicaltrials.gov/data-api/api,Free public resources,active,not_indexed,1,0,,,,Official public clinical-trial data API,2026-07-07
ent-openfda,openFDA,,Public data source,临床试验与监管公开数据,Clinical trial and regulatory public data,US,https://open.fda.gov,https://github.com/FDA,https://open.fda.gov/apis,Free public resources,active,not_indexed,1,0,,,,Official FDA public data APIs and examples,2026-07-07
ent-galaxy,Galaxy Project,,Professional software,生物信息学软件,Bioinformatics software,Global,https://galaxyproject.org,https://github.com/galaxyproject,https://docs.galaxyproject.org,Open source,active,not_indexed,1,1,2026-07-07T08:24:47Z,2026-07-07,,Public bioinformatics platform and tooling,2026-07-07
ent-nextflow,Nextflow,,Professional software,生物信息学软件,Bioinformatics software,Global,https://www.nextflow.io,https://github.com/nextflow-io,https://www.nextflow.io/docs/latest,Open source and commercial ecosystem,active,not_indexed,1,0,,,,Public workflow software platform,2026-07-07
ent-snakemake,Snakemake,,Professional software,生物信息学软件,Bioinformatics software,Global,https://snakemake.github.io,https://github.com/snakemake,https://snakemake.readthedocs.io,Open source,active,not_indexed,1,1,2026-07-07T08:24:47Z,2026-07-07,,Public workflow software platform,2026-07-07
ent-github,GitHub,,Software platform,Agent 工具平台,Agent tool platforms,US,https://github.com,https://github.com/github,https://docs.github.com,Commercial and free tiers,active,indexed,1,1,2026-07-07T08:24:47Z,2026-07-07,,Official GitHub MCP repository baseline tracking,2026-07-07
