id,company,product,country_region,industry,status,skill_type,github_url,stars,skill_count,cli_relevance,china_relevance,leading_reason,notes,checked_at
cn-001,飞书 / Lark / Feishu,larksuite/cli,China,企业协作与办公套件,官方,CLI + Skill,https://github.com/larksuite/cli,15180,26,高,高,官方 CLI 覆盖 200+ commands 和 20+ Agent Skills,星标为 2026-07-06 快照,2026-07-06
cn-002,钉钉 / DingTalk,dingtalk-workspace-cli,China,企业协作与办公套件,官方,CLI + Skill,https://github.com/DingTalk-Real-AI/dingtalk-workspace-cli,2345,,高,高,官方开源跨平台 CLI 面向 AI Agent 场景,星标为 2026-07-06 快照,2026-07-06
cn-003,金山文档 / WPS 365,WPS-AirPage-Skill,China,文档与办公,官方倾向,CLI + Skill,https://github.com/WPS-SmartDocs/WPS-AirPage-Skill,12,1,高,高,通过本地 CLI 操作 WPS 365 AirPage 智能文档,早期项目,2026-07-06
cn-004,语雀 / Yuque,yuque-ecosystem,China,知识库与团队文档,官方,MCP + Skill + Plugin,https://github.com/yuque/yuque-ecosystem,192,,中,高,整合 MCP Server Skills Plugin,语雀 AI Ecosystem 主入口,2026-07-06
cn-005,语雀 / Yuque,yuque-plugin,China,知识库与团队文档,官方,Plugin,https://github.com/yuque/yuque-plugin,75,,中,高,Claude Code Plugin 一键集成语雀 AI 能力,yuque-skills 已归并,2026-07-06
cn-006,小红书社区,xiaohongshu-skills,China,社交内容与营销,社区领先,Agent Skill,https://github.com/autoclaw-cc/xiaohongshu-skills,1596,,中,高,小红书 Skill 高星社区库,未发现小红书官方 Skill,2026-07-06
cn-007,小红书社区,139 个小红书运营技能,China,社交内容与营销,社区领先,Agent Skill,https://github.com/vivy-yi/xiaohongshu-skills,280,139,中,高,覆盖内容创作账号运营互动数据电商规则等,未发现小红书官方 Skill,2026-07-06
cn-008,微信生态社区,md2wechat-skill,China,微信公众号内容发布,社区领先,CLI + Skill,https://github.com/geekjourneyx/md2wechat-skill,3098,,高,高,Markdown 到微信公众号排版发布高星项目,未发现腾讯官方 Skill,2026-07-06
cn-009,微信生态社区,wechat-skills,China,微信生态,社区,Agent Skill,https://github.com/huangdijia/wechat-skills,10,,中,中,微信相关技能尝试,早期项目,2026-07-06
global-001,Obsidian,obsidian-skills,Global,知识管理,准官方,Agent Skill + CLI,https://github.com/kepano/obsidian-skills,39964,5,高,中,由 Obsidian CEO 发布且星标极高,非 obsidianmd org 但可信度接近官方,2026-07-06
