watch_id,entity_id,domain_zh,domain_en,target_name,source_type,source_url,official_homepage,keywords,exclude_terms,notes,checked_at
ls-ncbi-github,ent-ncbi,生命科学公共数据源,Life science public data sources,NCBI GitHub,github_org,https://github.com/ncbi,https://www.ncbi.nlm.nih.gov,"cli;mcp;sdk;api;rest;graphql;openapi;skill;SKILL.md;datasets;blast","PHI;PII;patient record;medical records;hospital internal",Official public life-science data and software organization,2026-07-07
ls-uniprot-github,ent-uniprot,生命科学公共数据源,Life science public data sources,UniProt GitHub,github_org,https://github.com/ebi-uniprot,https://www.uniprot.org,"cli;mcp;sdk;api;rest;graphql;openapi;skill;SKILL.md;download","PHI;PII;patient record;medical records;hospital internal",Official UniProt software and public data tooling,2026-07-07
ls-ensembl-github,ent-ensembl,生命科学公共数据源,Life science public data sources,Ensembl GitHub,github_org,https://github.com/Ensembl,https://www.ensembl.org,"cli;mcp;sdk;api;rest;graphql;openapi;skill;SKILL.md;download","PHI;PII;patient record;medical records;hospital internal",Official Ensembl public genomics tooling,2026-07-07
ls-rcsb-github,ent-rcsb-pdb,生命科学公共数据源,Life science public data sources,RCSB PDB GitHub,github_org,https://github.com/rcsb,https://www.rcsb.org,"cli;mcp;sdk;api;rest;graphql;openapi;skill;SKILL.md;download","PHI;PII;patient record;medical records;hospital internal",Official RCSB PDB public structure-data tooling,2026-07-07
ls-clinicaltrials-site,ent-clinicaltrials,临床试验与监管公开数据,Clinical trial and regulatory public data,ClinicalTrials.gov API,web_page,https://clinicaltrials.gov/data-api/api,https://clinicaltrials.gov,"cli;mcp;sdk;api;rest;graphql;openapi;skill;SKILL.md;download","PHI;PII;patient record;medical records;hospital internal",Official public clinical-trial data API page,2026-07-07
ls-openfda-github,ent-openfda,临床试验与监管公开数据,Clinical trial and regulatory public data,openFDA GitHub,github_org,https://github.com/FDA,https://open.fda.gov,"cli;mcp;sdk;api;rest;graphql;openapi;skill;SKILL.md;download","PHI;PII;patient record;medical records;hospital internal",Official FDA public data tooling and examples,2026-07-07
bio-galaxy-github,ent-galaxy,生物信息学软件,Bioinformatics software,Galaxy Project GitHub,github_org,https://github.com/galaxyproject,https://galaxyproject.org,"cli;mcp;sdk;api;rest;graphql;openapi;skill;SKILL.md;workflow","PHI;PII;patient record;medical records;hospital internal",Public bioinformatics platform and tooling,2026-07-07
bio-nextflow-github,ent-nextflow,生物信息学软件,Bioinformatics software,Nextflow GitHub,github_org,https://github.com/nextflow-io,https://www.nextflow.io,"cli;mcp;sdk;api;rest;graphql;openapi;skill;SKILL.md;workflow","PHI;PII;patient record;medical records;hospital internal",Public workflow software platform,2026-07-07
bio-snakemake-github,ent-snakemake,生物信息学软件,Bioinformatics software,Snakemake GitHub,github_org,https://github.com/snakemake,https://snakemake.github.io,"cli;mcp;sdk;api;rest;graphql;openapi;skill;SKILL.md;workflow","PHI;PII;patient record;medical records;hospital internal",Public workflow software platform,2026-07-07
agent-mcp-github,ent-github,Agent 工具平台,Agent tool platforms,GitHub MCP Server,github_repo,https://github.com/github/github-mcp-server,https://github.com,"cli;mcp;sdk;api;rest;graphql;openapi;skill;SKILL.md","PHI;PII;patient record;medical records;hospital internal",Official GitHub MCP repository for baseline tracking,2026-07-07
